date,daily_new_cases,cumulative_cases,daily_deaths,death_rate_percent
2020-01-25,3,3,,
2020-01-26,1,4,,
2020-01-27,0,4,,
2020-01-28,0,4,,
2020-01-29,3,7,,
2020-01-30,1,8,,
2020-01-31,0,8,,
2020-02-01,0,8,,
2020-02-02,0,8,,
2020-02-03,0,8,,
2020-02-04,2,10,,
2020-02-05,2,12,,
2020-02-06,0,12,,
2020-02-07,0,12,,
2020-02-08,4,16,,
2020-02-09,0,16,,
2020-02-10,2,18,,
2020-02-11,0,18,,
2020-02-12,0,18,,
2020-02-13,1,19,,
2020-02-14,0,19,,
2020-02-15,3,22,,
2020-02-16,0,22,,
2020-02-17,0,22,,
2020-02-18,0,22,,
2020-02-19,0,22,,
2020-02-20,0,22,,
2020-02-21,0,22,,
2020-02-22,0,22,,
2020-02-23,0,22,,
2020-02-24,0,22,,
2020-02-25,0,22,,
2020-02-26,0,22,,
2020-02-27,1,23,,
2020-02-28,0,23,,
2020-02-29,2,25,,
2020-03-01,4,29,,
2020-03-02,0,29,,
2020-03-03,7,36,,
2020-03-04,14,50,,
2020-03-05,0,50,,
2020-03-06,33,83,,
2020-03-07,10,93,,
2020-03-08,6,99,,
2020-03-09,18,117,,
2020-03-10,12,129,,
2020-03-11,20,149,,
2020-03-12,0,149,,
2020-03-13,48,197,,
2020-03-14,41,238,,
2020-03-15,190,428,,
2020-03-16,138,566,,
2020-03-17,107,673,2,0.29717682020802377
2020-03-18,117,790,0,0.25316455696202533
2020-03-19,110,900,0,0.22222222222222221
2020-03-20,130,1030,1,0.29126213592233008
2020-03-21,153,1183,5,0.67624683009298392
2020-03-22,123,1306,2,0.76569678407350694
2020-03-23,212,1518,4,0.922266139657444
2020-03-24,106,1624,2,0.98522167487684731
2020-03-25,172,1796,4,1.1135857461024499
2020-03-26,235,2031,3,1.1324470704086658
2020-03-27,130,2161,3,1.2031466913465989
2020-03-28,159,2320,1,1.163793103448276
2020-03-29,150,2470,8,1.417004048582996
2020-03-30,156,2626,2,1.408987052551409
2020-03-31,140,2766,6,1.5545914678235719
2020-04-01,142,2908,2,1.5474552957359009
2020-04-02,208,3116,5,1.6046213093709885
2020-04-03,217,3333,3,1.5901590159015901
2020-04-04,150,3483,4,1.6365202411714039
2020-04-05,179,3662,4,1.6657564172583288
2020-04-06,131,3793,1,1.6345900342736621
2020-04-07,170,3963,1,1.5897047691143074
2020-04-08,156,4119,2,1.5780529254673463
2020-04-09,109,4228,2,1.5846736045411542
2020-04-10,118,4346,3,1.6106764841233319
2020-04-11,184,4530,3,1.6114790286975718
2020-04-12,153,4683,3,1.6228913089899637
2020-04-13,134,4817,1,1.5985052937512976
2020-04-14,170,4987,5,1.6442751152997794
2020-04-15,85,5072,1,1.6364353312302837
2020-04-16,110,5182,1,1.6209957545349287
2020-04-17,69,5251,2,1.6377832793753573
2020-04-18,54,5305,2,1.6588124410933083
2020-04-19,84,5389,1,1.6515123399517537
2020-04-20,36,5425,0,1.6405529953917051
2020-04-21,57,5482,3,1.6782196278730388
2020-04-22,50,5532,1,1.6811279826464207
2020-04-23,71,5603,2,1.6955202570051759
2020-04-24,88,5691,1,1.6868740115972589
2020-04-25,51,5742,2,1.7067223963775686
2020-04-26,38,5780,0,1.6955017301038062
2020-04-27,40,5820,1,1.7010309278350515
2020-04-28,31,5851,1,1.7091095539224066
2020-04-29,94,5945,0,1.6820857863751051
2020-04-30,57,6002,2,1.6994335221592802
2020-05-01,69,6071,1,1.696590347553945
2020-05-02,105,6176,0,1.6677461139896372
2020-05-03,122,6298,2,1.6671959352175292
2020-05-04,55,6353,0,1.6527624744215332
2020-05-05,30,6383,1,1.6606611311295629
2020-05-06,45,6428,1,1.6645924082140633
2020-05-07,39,6467,0,1.6545538889747951
2020-05-08,68,6535,0,1.6373374139250192
2020-05-09,54,6589,1,1.6390954621338594
2020-05-10,67,6656,0,1.622596153846154
2020-05-11,70,6726,1,1.6205768658935475
2020-05-12,16,6742,0,1.6167309403737764
2020-05-13,37,6779,2,1.6374096474406254
2020-05-14,40,6819,1,1.6424695703182286
2020-05-15,36,6855,0,1.6338439095550692
2020-05-16,17,6872,1,1.6443538998835856
2020-05-17,22,6894,0,1.6391064693936757
2020-05-18,47,6941,0,1.6280074917158909
2020-05-19,37,6978,1,1.633705932932072
2020-05-20,31,7009,0,1.6264802396918248
2020-05-21,50,7059,1,1.6291259385182038
2020-05-22,78,7137,0,1.6113212834524309
2020-05-23,48,7185,0,1.6005567153792624
2020-05-24,60,7245,0,1.5873015873015872
2020-05-25,172,7417,0,1.5504921127140354
2020-05-26,187,7604,0,1.5123619147816938
2020-05-27,15,7619,0,1.5093844336527102
2020-05-28,10,7629,0,1.507405950976537
2020-05-29,103,7732,0,1.4873254009311951
2020-05-30,30,7762,0,1.4815769131667096
2020-05-31,57,7819,0,1.4707763141066632
2020-06-01,38,7857,0,1.4636629756904671
2020-06-02,20,7877,0,1.4599466802082011
2020-06-03,93,7970,0,1.4429109159347553
2020-06-04,277,8247,0,1.3944464653813509
2020-06-05,19,8266,1,1.4033389789499153
2020-06-06,37,8303,1,1.4091292303986511
2020-06-07,19,8322,0,1.40591204037491
2020-06-08,7,8329,0,1.4047304598391164
2020-06-09,7,8336,0,1.4035508637236083
2020-06-10,2,8338,1,1.4152074838090669
2020-06-11,31,8369,0,1.4099653483092365
2020-06-12,33,8402,1,1.41632944537015
2020-06-13,43,8445,1,1.4209591474245116
2020-06-14,8,8453,1,1.4314444575890217
2020-06-15,41,8494,0,1.4245349658582529
2020-06-16,11,8505,0,1.4226925338036449
2020-06-17,10,8515,0,1.4210217263652378
2020-06-18,14,8529,0,1.4186891780982531
2020-06-19,6,8535,0,1.4176918570591681
2020-06-20,21,8556,0,1.4142122487143525
2020-06-21,16,8572,0,1.4115725618292114
2020-06-22,15,8587,0,1.4091067893327123
2020-06-23,3,8590,0,1.4086146682188592
2020-06-24,6,8596,0,1.4076314564913914
2020-06-25,4,8600,0,1.4069767441860466
2020-06-26,6,8606,0,1.4059958168719497
2020-06-27,10,8616,0,1.404363974001857
2020-06-28,18,8634,0,1.4014361825341672
2020-06-29,3,8637,0,1.4009494037281462
2020-06-30,2,8639,0,1.4006250723463363
2020-07-01,1,8640,0,1.4004629629629628
2020-07-02,3,8643,0,1.3999768598866136
2020-07-03,5,8648,0,1.3991674375578169
2020-07-04,10,8658,0,1.3975513975513976
2020-07-05,5,8663,0,1.3967447766362691
2020-07-06,5,8668,0,1.3959390862944163
2020-07-07,6,8674,0,1.394973483975098
2020-07-08,3,8677,0,1.3944911835887979
2020-07-09,12,8689,0,1.3925653124640349
2020-07-10,8,8697,0,1.3912843509256065
2020-07-11,9,8706,1,1.401332414426832
2020-07-12,12,8718,0,1.3994035329203947
2020-07-13,7,8725,0,1.3982808022922635
2020-07-14,4,8729,0,1.3976400504066904
2020-07-15,5,8734,0,1.396839935882757
2020-07-16,3,8737,0,1.3963603067414443
2020-07-17,18,8755,0,1.3934894346087949
2020-07-18,9,8764,0,1.3920584208124145
2020-07-19,15,8779,1,1.4010707369859894
2020-07-20,21,8800,0,1.3977272727272727
2020-07-21,15,8815,0,1.3953488372093024
2020-07-22,16,8831,0,1.3928207451024799
2020-07-23,9,8840,0,1.3914027149321266
2020-07-24,21,8861,0,1.388105180002257
2020-07-25,23,8884,0,1.384511481314723
2020-07-26,13,8897,1,1.3937282229965158
2020-07-27,7,8904,0,1.3926325247079965
2020-07-28,39,8943,0,1.3865593201386559
2020-07-29,13,8956,0,1.3845466726217062
2020-07-30,8,8964,0,1.3833110218652387
2020-07-31,12,8976,1,1.392602495543672
2020-08-01,9,8985,0,1.3912075681691707
2020-08-02,14,8999,0,1.3890432270252251
2020-08-03,2,9001,0,1.3887345850461059
2020-08-04,1,9002,0,1.3885803154854477
2020-08-05,21,9023,0,1.3853485536961099
2020-08-06,15,9038,0,1.3830493472007082
2020-08-07,25,9063,0,1.3792342491448748
2020-08-08,7,9070,0,1.3781697905181918
2020-08-09,13,9083,0,1.37619729164373
2020-08-10,11,9094,0,1.3745326588959752
2020-08-11,9,9103,0,1.3731736790069207
2020-08-12,12,9115,0,1.3713658804168951
2020-08-13,15,9130,0,1.3691128148959473
2020-08-14,19,9149,0,1.3662695376543885
2020-08-15,26,9175,0,1.3623978201634876
2020-08-16,25,9200,0,1.3586956521739131
2020-08-17,15,9215,0,1.3564839934888768
2020-08-18,4,9219,0,1.3558954333441806
2020-08-19,16,9235,0,1.353546291283162
2020-08-20,5,9240,0,1.3528138528138527
2020-08-21,9,9249,0,1.3514974591847768
2020-08-22,8,9257,0,1.350329480393216
2020-08-23,10,9267,0,1.3488723427214848
2020-08-24,7,9274,0,1.3478542160879878
2020-08-25,11,9285,0,1.3462574044157243
2020-08-26,6,9291,0,1.3453880099020556
2020-08-27,5,9296,0,1.3446643717728055
2020-08-28,10,9306,0,1.3432194283258112
2020-08-29,11,9317,1,1.35236664162284
2020-08-30,17,9334,1,1.3606170987786586
2020-08-31,6,9340,0,1.3597430406852249
2020-09-01,14,9354,1,1.3683985460765447
2020-09-02,6,9360,0,1.3675213675213675
2020-09-03,14,9374,0,1.3654789844250055
2020-09-04,11,9385,0,1.3638785295684603
2020-09-05,6,9391,0,1.3630071344904695
2020-09-06,6,9397,0,1.3621368521868682
2020-09-07,62,9459,0,1.3532085844169575
2020-09-08,100,9559,0,1.3390522021131916
2020-09-09,24,9583,0,1.3356986329959302
2020-09-10,45,9628,0,1.3294557540506855
2020-09-11,182,9810,0,1.3047910295616718
2020-09-12,58,9868,0,1.2971220105391164
2020-09-13,47,9915,0,1.2909732728189611
2020-09-14,31,9946,0,1.2869495274482203
2020-09-15,23,9969,0,1.2839803390510582
2020-09-16,62,10031,0,1.2760442627853652
2020-09-17,21,10052,0,1.2733784321528054
