date,location,population,new_cases,total_cases,new_deaths,total_deaths,people_fully_vaccinated,vaccine_coverage_pct,daily_cfr_pct,cumulative_cfr_pct,daily_vaccination_velocity
2020-01-24,Malaysia,32365998,,,,,,,,,
2020-01-25,Malaysia,32365998,3,3,,,,,,,
2020-01-26,Malaysia,32365998,1,4,,,,,,,
2020-01-27,Malaysia,32365998,0,4,,,,,,,
2020-01-28,Malaysia,32365998,0,4,,,,,,,
2020-01-29,Malaysia,32365998,3,7,,,,,,,
2020-01-30,Malaysia,32365998,1,8,,,,,,,
2020-01-31,Malaysia,32365998,0,8,,,,,,,
2020-02-01,Malaysia,32365998,0,8,,,,,,,
2020-02-02,Malaysia,32365998,0,8,,,,,,,
2020-02-03,Malaysia,32365998,0,8,,,,,,,
2020-02-04,Malaysia,32365998,2,10,,,,,,,
2020-02-05,Malaysia,32365998,2,12,,,,,,,
2020-02-06,Malaysia,32365998,0,12,,,,,,,
2020-02-07,Malaysia,32365998,0,12,,,,,,,
2020-02-08,Malaysia,32365998,4,16,,,,,,,
2020-02-09,Malaysia,32365998,0,16,,,,,,,
2020-02-10,Malaysia,32365998,2,18,,,,,,,
2020-02-11,Malaysia,32365998,0,18,,,,,,,
2020-02-12,Malaysia,32365998,0,18,,,,,,,
2020-02-13,Malaysia,32365998,1,19,,,,,,,
2020-02-14,Malaysia,32365998,0,19,,,,,,,
2020-02-15,Malaysia,32365998,3,22,,,,,,,
2020-02-16,Malaysia,32365998,0,22,,,,,,,
2020-02-17,Malaysia,32365998,0,22,,,,,,,
2020-02-18,Malaysia,32365998,0,22,,,,,,,
2020-02-19,Malaysia,32365998,0,22,,,,,,,
2020-02-20,Malaysia,32365998,0,22,,,,,,,
2020-02-21,Malaysia,32365998,0,22,,,,,,,
2020-02-22,Malaysia,32365998,0,22,,,,,,,
2020-02-23,Malaysia,32365998,0,22,,,,,,,
2020-02-24,Malaysia,32365998,0,22,,,,,,,
2020-02-25,Malaysia,32365998,0,22,,,,,,,
2020-02-26,Malaysia,32365998,0,22,,,,,,,
2020-02-27,Malaysia,32365998,1,23,,,,,,,
2020-02-28,Malaysia,32365998,0,23,,,,,,,
2020-02-29,Malaysia,32365998,2,25,,,,,,,
2020-03-01,Malaysia,32365998,4,29,,,,,,,
2020-03-02,Malaysia,32365998,0,29,,,,,,,
2020-03-03,Malaysia,32365998,7,36,,,,,,,
2020-03-04,Malaysia,32365998,14,50,,,,,,,
2020-03-05,Malaysia,32365998,0,50,,,,,,,
2020-03-06,Malaysia,32365998,33,83,,,,,,,
